legDurations	300.0	600.0	900.0	1200.0	1500.0	1800.0	2100.0	2400.0	2700.0	3000.0	3300.0	3600.0	3900.0	4200.0	4500.0	4800.0	5100.0	5400.0	5700.0	6000.0	6300.0	6600.0	6900.0	7200.0	1.7976931348623157E308	|	 average 	|	 cnt 	 | 	 sum
other---other	709.0	417.0	119.0	38.0	10.0	4.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	|	318.3566487317448	|	1301	|	414182.0
other---shopping	499.0	438.0	166.0	41.0	10.0	7.0	4.0	4.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	|	419.7853492333901	|	1174	|	492828.0
other---work	160.0	381.0	288.0	161.0	117.0	70.0	54.0	37.0	23.0	24.0	11.0	11.0	9.0	8.0	5.0	9.0	4.0	2.0	2.0	5.0	2.0	1.0	0.0	2.0	14.0	|	1144.625	|	1400	|	1602475.0
shopping---education	16.0	63.0	32.0	14.0	16.0	8.0	3.0	2.0	3.0	2.0	0.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	|	951.5757575757576	|	165	|	157010.0
shopping---home	10842.0	12863.0	6178.0	1977.0	927.0	545.0	317.0	178.0	126.0	80.0	60.0	61.0	34.0	32.0	30.0	22.0	18.0	17.0	12.0	9.0	9.0	9.0	10.0	5.0	65.0	|	571.1736768721315	|	34426	|	1.9663225E7
shopping---leisure	1087.0	1109.0	419.0	127.0	28.0	8.0	13.0	6.0	3.0	3.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	|	437.1325258282864	|	2807	|	1227031.0
shopping---other	415.0	308.0	115.0	32.0	12.0	3.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	|	404.9955106621773	|	891	|	360851.0
shopping---shopping	3838.0	2040.0	710.0	165.0	47.0	20.0	14.0	5.0	10.0	3.0	3.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	|	321.32279218886623	|	6862	|	2204917.0
shopping---work	356.0	825.0	572.0	326.0	194.0	148.0	102.0	74.0	46.0	32.0	21.0	24.0	11.0	17.0	15.0	8.0	5.0	8.0	4.0	3.0	3.0	4.0	0.0	5.0	16.0	|	1051.7885775097552	|	2819	|	2964992.0
work---education	37.0	35.0	12.0	8.0	4.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	|	591.1960784313726	|	102	|	60302.0
work---home	4448.0	8263.0	6545.0	4661.0	3567.0	2563.0	1948.0	1393.0	1059.0	698.0	600.0	511.0	375.0	323.0	266.0	231.0	184.0	164.0	109.0	89.0	120.0	71.0	72.0	79.0	527.0	|	1373.2992589924356	|	38866	|	5.3374649E7
work---leisure	784.0	1340.0	715.0	291.0	140.0	86.0	46.0	52.0	19.0	19.0	15.0	10.0	9.0	8.0	4.0	2.0	1.0	1.0	2.0	0.0	1.0	3.0	1.0	2.0	2.0	|	689.5358851674641	|	3553	|	2449921.0
work---other	472.0	662.0	345.0	133.0	63.0	41.0	32.0	20.0	9.0	7.0	7.0	4.0	8.0	5.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	|	651.8184326710817	|	1812	|	1181095.0
work---shopping	1418.0	2159.0	1098.0	414.0	201.0	111.0	85.0	65.0	44.0	29.0	23.0	13.0	19.0	10.0	4.0	1.0	2.0	3.0	1.0	2.0	1.0	2.0	1.0	0.0	3.0	|	657.7813977929585	|	5709	|	3755274.0
work---work	3897.0	4300.0	1987.0	782.0	362.0	210.0	165.0	127.0	90.0	51.0	50.0	24.0	38.0	16.0	24.0	12.0	11.0	13.0	9.0	8.0	8.0	5.0	4.0	1.0	10.0	|	625.6845296624058	|	12204	|	7635854.0
yy_subpop_null	83384.0	103158.0	54852.0	23768.0	14112.0	9304.0	6698.0	4693.0	3504.0	2384.0	1887.0	1575.0	1219.0	1000.0	860.0	701.0	561.0	487.0	378.0	298.0	311.0	248.0	208.0	215.0	1562.0	|	801.4956091843197	|	317367	|	2.54368257E8
zz_mode_car	83384.0	103158.0	54852.0	23768.0	14112.0	9304.0	6698.0	4693.0	3504.0	2384.0	1887.0	1575.0	1219.0	1000.0	860.0	701.0	561.0	487.0	378.0	298.0	311.0	248.0	208.0	215.0	1562.0	|	801.4956091843197	|	317367	|	2.54368257E8
zzzzzzz_all	83384.0	103158.0	54852.0	23768.0	14112.0	9304.0	6698.0	4693.0	3504.0	2384.0	1887.0	1575.0	1219.0	1000.0	860.0	701.0	561.0	487.0	378.0	298.0	311.0	248.0	208.0	215.0	1562.0	|	801.4956091843197	|	317367	|	2.54368257E8

control statistics: average ttime = 801.4956091843197

